Distance,Fluence of Supernovae,Fluence of LGRB,Fluence of SGRB
54.713047949754426,2.8626073477662588e+38,2.6286568850011565e+23,2.0356318917448954e+31
58.909022744281145,2.46933472385923e+38,2.2675249989524614e+23,1.755971359188786e+31
63.42678923450123,2.130090940769439e+38,1.956006373525656e+23,1.514731335658268e+31
68.2910258087482,1.8374533724034318e+38,1.6872850067983767e+23,1.3066335092646629e+31
73.52830345500603,1.5850191328155996e+38,1.4554812973513313e+23,1.127124716668871e+31
79.16723090545345,1.3672649815899209e+38,1.255523399072471e+23,9.722773202417215e+30
85.23861091222656,1.1794264757935728e+38,1.083036249580875e+23,8.387032716754295e+30
91.77560850805833,1.0173937243571255e+38,9.342458442214192e+22,7.234799817650671e+30
98.81393217092224,8.776214639957154e+37,8.058966611530904e+22,6.240863743969532e+30
106.39202888229583,7.570514891397357e+37,6.951804307986554e+22,5.383477256104787e+30
114.55129414455361,6.5304573864830645e+37,5.996746911371043e+22,4.643880808165735e+30
123.33629810471244,5.633285752483301e+37,5.172897844337283e+22,4.0058920906547915e+30
132.79502901973785,4.859369947779618e+37,4.462231357006078e+22,3.455551962865506e+30
142.97915539334014,4.19177675816894e+37,3.849198125040349e+22,2.9808190280312467e+30
153.94430821619366,3.6158992995283245e+37,3.3203850317064506e+22,2.571306168553475e+30
165.7503848513175,3.119137420390852e+37,2.864221689982417e+22,2.2180532767223836e+30
178.46187622459877,2.690622011667089e+37,2.4707272834408532e+22,1.9133312082965965e+30
192.14821910774495,2.3209771914314364e+37,2.131292186805727e+22,1.650472669462355e+30
206.8841754180152,2.002115161396172e+37,1.8384895880589277e+22,1.4237263369928334e+30
222.75024060666323,1.7270592465496196e+37,1.5859129904036913e+22,1.2281310197686184e+30
239.83308336692494,1.4897912460802375e+37,1.3680360386411733e+22,1.0594071083237246e+30
258.22601906345955,1.2851197556374834e+37,1.1800916029728958e+22,9.138629373422104e+29
278.0295194693643,1.1085665798312782e+37,1.0179674745925423e+22,7.883140123244646e+29
299.35176159521274,9.562687496848983e+36,8.781163908952235e+21,6.80013333109261e+29
322.30921860810304,8.24894001191245e+36,7.574784216632187e+21,5.865912897359965e+29
347.02729606862334,7.115678656502364e+36,6.534140180442943e+21,5.060038155735015e+29
373.64101696119576,6.138107765298739e+36,5.636462594397373e+21,4.364876633101326e+29
402.29575925978406,5.294838167543111e+36,4.862110346687889e+21,3.765218252475101e+29
433.14805005793556,4.56741919374022e+36,4.1941406737743065e+21,3.247942537770823e+29
466.36642060111126,3.9399349765257386e+36,3.617938454109953e+21,2.8017315388627478e+29
502.1323268919288,3.398656212796426e+36,3.1208964304834034e+21,2.4168221957663475e+29
540.641140897145,2.931739767686574e+36,2.692139364266827e+21,2.0847927236882306e+29
582.103217770871,2.5289695477504167e+36,2.3222860860885371e+21,1.798378345066963e+29
626.7450449237385,2.1815329736771794e+36,2.003244236618163e+21,1.5513123368371053e+29
674.8104792148345,1.881828161780017e+36,1.7280332064095656e+21,1.3381889150435675e+29
726.5620790245948,1.623297595405675e+36,1.4906314007398302e+21,1.1543449567329245e+29
782.2825384851217,1.4002846470090613e+36,1.2858444876116266e+21,9.957579712064436e+28
842.2762317024387,1.2079098116074496e+36,1.1091917461960053e+21,8.589580882541865e+28
906.8708754060385,1.0419639436124612e+36,9.5680802902889e+20,7.409521376799725e+28
976.4193191079621,8.988161610705259e+35,8.253591929022279e+20,6.391581589834852e+28
1051.301472550198,7.753344022641453e+35,7.119691480846147e+20,5.513489082767256e+28
1131.926380969127,6.688168964589087e+35,6.14156929714333e+20,4.756031263707795e+28
1218.7344595131701,5.769330493818743e+35,5.297824144920793e+20,4.102635017826662e+28
1312.1998990192028,4.976724500104159e+35,4.569994949590597e+20,3.539004088962958e+28
1412.8332562893265,4.293008829442728e+35,3.942156868175141e+20,3.052806278714829e+28
1521.1842430174509,3.703223839151134e+35,3.400572855051547e+20,2.6334036189519173e+28
1637.8447286002345,3.194465082112914e+35,2.933393096522419e+20,2.2716196139469614e+28
1763.4519732353021,2.7556009585361236e+35,2.530395737866046e+20,1.9595384594034658e+28
1898.6921089676216,2.3770291574646805e+35,2.1827632299951155e+20,1.6903318453082173e+28
2044.303887699291,2.0504665590038407e+35,1.8828894022073837e+20,1.4581095530693978e+28
2201.082716636343,1.768768000337629e+35,1.624213039795803e+20,1.2577905780178697e+28
