Distance,Rate of Supernovae,Error of Supernovae,Rate of LGRB,Error of LGRB,Rate of SGRB,Error of SGRB
63.42678923450123,1.2539529587113784e-07,2.3542756737035854e-11,3.7998574506405415e-15,7.134168708192131e-19,3.343874556563675e-11,6.278068463207955e-15
68.2910258087482,1.5384845927204794e-07,5.501112065548037e-11,4.662074523395393e-15,1.6670036562166728e-18,4.1026255805879454e-11,1.4669632174761543e-14
73.52830345500603,1.8854569766801104e-07,1.3326812102411895e-11,5.71350598993973e-15,4.0384279098215684e-19,5.0278852711469615e-11,3.553816560642907e-15
79.16723090545345,2.307813682395416e-07,1.7261132973986244e-11,6.993374795137624e-15,5.230646355752778e-19,6.154169819721109e-11,4.602968793063233e-15
85.23861091222656,2.8210767197155404e-07,2.771924183595797e-11,8.548717332471337e-15,8.399770253319787e-19,7.522871252574775e-11,7.391797822917109e-15
91.77560850805833,3.443906891885443e-07,8.561644270399167e-11,1.043608149056195e-14,2.5944376577065242e-18,9.183751711694514e-11,2.283105138810523e-14
98.81393217092224,4.1983453461334143e-07,3.477739426982515e-11,1.2722258624646711e-14,1.053860432417214e-18,1.1195587589689105e-10,9.273971805312477e-15
106.39202888229583,5.110030108535526e-07,2.7914870102357724e-10,1.548493972283493e-14,8.459051546134012e-18,1.362674695609474e-10,7.443965360578442e-14
114.55129414455361,6.210701069589246e-07,4.440581385893632e-11,1.882030627148256e-14,1.3456307229957915e-18,1.6561869518904654e-10,1.1841550362362015e-14
123.33629810471244,7.535630652071228e-07,3.292793259346152e-10,2.283524440021584e-14,9.978161391934201e-18,2.0095015072189938e-10,8.780782024785229e-14
132.79502901973785,9.127630772459388e-07,1.495914905159524e-10,2.765948718927088e-14,4.533075470181689e-18,2.4340348726558367e-10,3.9891064137587186e-14
142.97915539334014,1.103736937618276e-06,3.609609848159411e-10,3.344657386722049e-14,1.093821166093472e-17,2.9432985003154025e-10,9.625626261626072e-14
153.94430821619366,1.3321907571156428e-06,2.789076182178262e-10,4.036941688229221e-14,8.451746006576949e-18,3.552508685641715e-10,7.437536485867495e-14
165.7503848513175,1.6049209377138668e-06,2.2856123862595532e-10,4.863396780951111e-14,6.9260981402065404e-18,4.279789167236977e-10,6.094966363635038e-14
178.46187622459877,1.9298446054732285e-06,2.5346712548930863e-10,5.848013955979481e-14,7.680821984459237e-18,5.146252281261942e-10,6.759123346449279e-14
192.14821910774495,2.316030614210886e-06,7.714130105391714e-11,7.018274588517839e-14,2.3376151833840104e-18,6.176081637895696e-10,2.0571013613965784e-14
206.8841754180152,2.774081543219331e-06,3.647686180692295e-10,8.406307706725245e-14,1.1053594486852155e-17,7.397550781918218e-10,9.727163148466491e-14
222.75024060666323,3.3157438935285805e-06,8.386143751614253e-10,1.0047708768268427e-13,2.541255682315161e-17,8.841983716076215e-10,2.2363050004493118e-13
